web-scraper-order	web-scraper-start-url	show	show-href	headliner	band2	band3	location	picture-src	cost-advance	cost-doors	time-doors	age	series	tickets	tickets-href
1553788526-138	http://www.lh-st.com/	Choker	http://www.lh-st.com/Shows/04-02-2019+Choker									All Ages			
1553788544-191	http://www.lh-st.com/	Ten Fé	http://www.lh-st.com/Shows/03-30-2019+Ten+Fe	Ten Fé											
1553788524-126	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise					/assets/root/images/artist/lhst/0403_ComTruiseSITE.jpg							
1553788530-150	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle				Schubas								
1553788553-231	http://www.lh-st.com/	J.S. Ondara	http://www.lh-st.com/Shows/03-28-2019+JS+Ondara							$10.00 [$12.00 Door] All Ages					
1553788538-170	http://www.lh-st.com/	"Benito Skinner 
The Overcompensating Tour"	http://www.lh-st.com/Shows/03-31-2019+Benito+Skinner						$25.00 						
1553788551-222	http://www.lh-st.com/	Mansionair	http://www.lh-st.com/Shows/03-29-2019+Mansionair							$15.00  18+					
1553788522-115	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air				Schubas								
1553788528-144	http://www.lh-st.com/	"Schubas Open Mic 
Hosted by Tyler Snodgrass & Clare Austen-Smith"	http://www.lh-st.com/Shows/04-01-2019+Schubas+Open+Mic+Comedy									21+			
1553788526-139	http://www.lh-st.com/	Choker	http://www.lh-st.com/Shows/04-02-2019+Choker											Buy	javascript:Global.animateCart();
1553788555-235	http://www.lh-st.com/	HÆLOS	http://www.lh-st.com/Shows/03-28-2019+HAELOS		FEE LION										
1553788522-117	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air						$12.00 						
1553788528-140	http://www.lh-st.com/	"Schubas Open Mic 
Hosted by Tyler Snodgrass & Clare Austen-Smith"	http://www.lh-st.com/Shows/04-01-2019+Schubas+Open+Mic+Comedy				Schubas								
1553788546-201	http://www.lh-st.com/	UpBeat Music Student Showcase	http://www.lh-st.com/Shows/03-30-2019+UpBeat+Music+Student+Showcase					/assets/root/images/artist/lhst/0330_UpBeatMusicShowcaseSITE.jpg							
1553788530-157	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle											Buy	javascript:Global.animateCart();
1553788528-145	http://www.lh-st.com/	"Schubas Open Mic 
Hosted by Tyler Snodgrass & Clare Austen-Smith"	http://www.lh-st.com/Shows/04-01-2019+Schubas+Open+Mic+Comedy										LHST Comedy Presents:		
1553788544-197	http://www.lh-st.com/	Ten Fé	http://www.lh-st.com/Shows/03-30-2019+Ten+Fe								9:00 PM				
1553788548-208	http://www.lh-st.com/	Stella Donnelly	http://www.lh-st.com/Shows/03-29-2019+Stella+Donnelly		Faye Webster										
1553788544-192	http://www.lh-st.com/	Ten Fé	http://www.lh-st.com/Shows/03-30-2019+Ten+Fe		Cinders										
1553788530-154	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle								8:00 PM				
1553788548-207	http://www.lh-st.com/	Stella Donnelly	http://www.lh-st.com/Shows/03-29-2019+Stella+Donnelly	Stella Donnelly											
1553788522-118	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air							$12.00 [$14.00 Door] 18+					
1553788524-131	http://www.lh-st.com/	Com Truise	http://www.lh-st.com/Shows/04-03-2019+Com+Truise											Buy	javascript:Global.animateCart();
1553788526-133	http://www.lh-st.com/	Choker	http://www.lh-st.com/Shows/04-02-2019+Choker				Schubas								
1553788522-120	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air									18+			
1553788528-141	http://www.lh-st.com/	"Schubas Open Mic 
Hosted by Tyler Snodgrass & Clare Austen-Smith"	http://www.lh-st.com/Shows/04-01-2019+Schubas+Open+Mic+Comedy					/assets/root/images/artist/lhst/100offcomedyLHSTcomedy2019SITE.jpg							
1553788530-148	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle		Sammus										
1553788538-167	http://www.lh-st.com/	"Benito Skinner 
The Overcompensating Tour"	http://www.lh-st.com/Shows/03-31-2019+Benito+Skinner	"Benito Skinner 
The Overcompensating Tour"											
1553788522-119	http://www.lh-st.com/	Foreign Air	http://www.lh-st.com/Shows/04-03-2019+Foreign+Air								8:00 PM				
1553788530-153	http://www.lh-st.com/	Open Mike Eagle	http://www.lh-st.com/Shows/04-01-2019+Open+Mike+Eagle							$15.00  18+					
1553788532-162	http://www.lh-st.com/	Tow'rs	http://www.lh-st.com/Shows/03-31-2019+Towrs						$10.00 						
1553788544-195	http://www.lh-st.com/	Ten Fé	http://www.lh-st.com/Shows/03-30-2019+Ten+Fe						$12.00 						
1553788548-212	http://www.lh-st.com/	Stella Donnelly	http://www.lh-st.com/Shows/03-29-2019+Stella+Donnelly							$12.00 [$15.00 Door] 18+					
